M,c,k,MlnM_s2,MlnM_V1,MlnM_V2,B_c
100,0.5,50,0.8976732894,1.0881232527,-1.9044996337e-01,0.9595173757
100,1.0,100,0.3876825327,0.4264835800,-3.8801047264e-02,0.4254590641
100,2.0,200,0.1261057317,0.1305164918,-4.4107601429e-03,0.1378602824
100,3.0,300,0.0454383376,0.0461065629,-6.6822532163e-04,0.0499107848
200,0.5,100,0.9702279195,1.1581993948,-1.8797147528e-01,0.9595173757
200,1.0,200,0.4477523393,0.4916991809,-4.3946841628e-02,0.4254590641
200,2.0,400,0.1506466115,0.1561962635,-5.5496519752e-03,0.1378602824
200,3.0,600,0.0550460016,0.0559286971,-8.8269547606e-04,0.0499107848
400,0.5,200,0.9785016388,1.1426770936,-1.6417545488e-01,0.9595173757
400,1.0,400,0.4204696392,0.4556155398,-3.5145900636e-02,0.4254590641
400,2.0,800,0.1302569824,0.1342004259,-3.9434435135e-03,0.1378602824
400,3.0,1200,0.0463709517,0.0469700724,-5.9912068381e-04,0.0499107848
800,0.5,400,0.9585247631,1.0996681280,-1.4114336493e-01,0.9595173757
800,1.0,800,0.4259184055,0.4576396753,-3.1721269763e-02,0.4254590641
800,2.0,1600,0.1407447573,0.1446887878,-3.9440304680e-03,0.1378602824
800,3.0,2400,0.0513532812,0.0519839673,-6.3068616268e-04,0.0499107848
1600,0.5,800,0.9767405185,1.1061363278,-1.2939580928e-01,0.9595173757
1600,1.0,1600,0.4341633694,0.4637577242,-2.9594354786e-02,0.4254590641
1600,2.0,3200,0.1421555586,0.1458306395,-3.6750808711e-03,0.1378602824
1600,3.0,4800,0.0517690081,0.0523568048,-5.8779669228e-04,0.0499107848
3200,0.5,1600,0.9825719102,1.0995775579,-1.1700564773e-01,0.9595173757
3200,1.0,3200,0.4322953754,0.4588739419,-2.6578566484e-02,0.4254590641
3200,2.0,6400,0.1402613729,0.1435267601,-3.2653872372e-03,0.1378602824
3200,3.0,9600,0.0510361284,0.0515584396,-5.2231114425e-04,0.0499107848
